ID,Legacy ID,Name,Coder Initials,Notes,Org to plot link,,,
1,OrgAU1,Vienna Tawhid Mosque Recruitment Cell,JC,,,,,
2,OrgAU2,Sahaba Mosque Recruitment Cell,JC,,,,,
3,OrgAUS1,Al-Furqan Islamic Centre,JC,,"OrgAUS1 ""director of"" PlotAUS18",,,
4,OrgAUS2,Al-Risalah Bookshop,JC,,,,,
5,OrgAUS3,Islamic Information and Support Center of Australia Recruitment Cell,JC,,,,,
7,OrgAUS5,NSW Training Camp,JC,,"OrgAUS5 ""director of"" PlotAUS5",,,
8,OrgAUS6,Sharia4Australia,JC,,,,,
313,OrgAUS7,Naizmand/Appleby Group,JC,,"""Director of"" PlotAUS8, 24, 12, 25, 21, 16, 22",,,
315,OrgAUS8,Bukhari House Islamic Bookstore,JC,,,,,
316,OrgAUS9,Hume Islamic Youth Centre Recruitment Cell,JC,,,,,
9,OrgBEL1,Centre Islamique Belge Recruitment Cell,JC,,"""director of"" PlotBEL,12",,,
10,OrgBEL2,Sharia4Belgium,JC,,,,,
11,OrgBEL3,Shariah Sisters,JC,,,,,
287,OrgBEL4,Resto du Tawhid,JC,,,,,
292,OrgBEL5,Zerkani Network,JC,,,,,
293,OrgBEL6,Kamikaze Riders Motorcycle Club,JC,,,,,
297,OrgBEL7,Kari Network,JC,,,,,
25,OrgBEL8,Minbar SOS (French-language forum),JC,,,,,
375,OrgBEL9,Belgium and France ISIS Terror Cell,JC,,"""Financial/logistical supporter of"" PlotFR136, 105",,,
12,OrgCN1,Al-Rahman Islamic Center Recruitment Cell,JC,,"""Inspiration for"" PlotCN7",,,
339,OrgCN2,Calgary Mosque Recruitment Cell,JC,,,,,
205,OrgCN25,Abu Huraira Centre Mosque Recruitment Cell,JC,,,,,
374,OrgCN26,8th and 8th Radical Cell Calgary,JC,,,,,
13,OrgDK1,Call to Islam,JC,,,,,
14,OrgDK10,Quba Copenhagen Recruitment Cell,JC,,,,,
333,OrgDK12,Hjaelp4Syrien,JC,,,,,
354,OrgDK13,Milatu Ibrahim,JC,,,,,
16,OrgDK2,Det Islamiske Trosamfund Recruitment Cell,JC,,,,,
17,OrgDK3,Grimhoj Mosque Recruitment Activity,JC,,,,,
18,OrgDK5,Heimdalsgade Taiba Recruitment Cell,JC,,,,,
19,OrgDK7,Masjid Al-Faroq,JC,,,,,
20,OrgDK8,Nordre Fasanvej Mosque Recruitment Cell,JC,,"""Recruitment for"" PlotNOR1",,,
21,OrgDK9,Odense Mosque Recruitment Cell,JC,,,,,
22,OrgFR1,Adda'Wa Mosque,JC,,"""Recruiting for"" PlotFR20",,,
23,OrgFR10,Mantes la Jolie Recruitment Cell,JC,,"""Inspiration for"" PlotIT6",,,
26,OrgFR13,Mosquée de la Rue Archimède Recruitment Cell,JC,,,,,
27,OrgFR14,Mosquee Essalam de la Conte Recruitment Cell,JC,,"""Inspiration for"" PlotFR24",,,
28,OrgFR15,Mouvement de la Jeunesse Islamique Marocaine,JC,,,,,
29,OrgFR16,Omar Mosque Recruitment Cell,JC,,,,,
30,OrgFR17,Trappes Mosque Recruitment Cell,JC,,"""Supporter of"" PlotFR18",,,
31,OrgFR18,Voix des Opprimes,JC,,,,,
32,OrgFR19,Rue Myrha Mosque,JC,,,,,
33,OrgFR2,Al Mourabitoune (French-language forum),JC,,,,,
34,OrgFR20,Sanabil Association,JC,,,,,
35,OrgFR21,El Baraka Mosque Recruitment Cell,JC,,,,,
282,OrgFR22,Lunel Recruitment Ring,JC,,,,,
296,OrgFR24,Buttes-Chaumont network,JC,,,,,
307,OrgFR25,Cannes-Torcy Recruitment Cell,JC,,"""Recruitment for"" PlotFR99",,,
308,OrgFR26,Artigat Recruitment Ring,JC,,,,,
309,OrgFR27,Chain of Champigny sur Marne,JC,,,,,
146,OrgFR28,Ansar al-Haqq Forum,JC,,,,,
355,OrgFR29,French Training Camps,JC,,,,,
36,OrgFR3,Ansar al-Fath,JC,,,,,
362,OrgFR30,"""As-Sunnah"" Prayer Room",JC,,,,,
370,OrgFR31,Belmir Family,JC,,,,,
37,OrgFR5,Centre Islamique des Alpes-Maritimes Recruitment Cell,JC,,"""Director of"" PlotFR102",,,
38,OrgFR6,Forsane Alizza,JC,,,,,
39,OrgFR7,Roubaix Gang (GIA),JC,,,,,
40,OrgFR8,La Mosquee de la Reynerie Recruitment Cell,JC,,"""Recruiting for"" PlotFR22",,,
41,OrgFR9,Le Sona Restaurant,JC,,"""Financial/logistical supporter of"" PlotFR70",,,
42,OrgGER1,Al-Nur Mosque Recruitment Cell,JC,,,,,
43,OrgGER10,King Fahd Academy - Bonn,JC,,,,,
44,OrgGER11,Marienstrasse Apartment,JC,,,,,
45,OrgGER12,Millatu Ibrahim,JC,,,,,
46,OrgGER13,Milli Gorus Recruitment Cell,JC,,,,,
47,OrgGER14,Multikulturhaus Mosque,JC,,,,,
48,OrgGER15,Schabab an-Nur Moschee Recruitment Cell,JC,,,,,
49,OrgGER16,Solingen Mosque,JC,,,,,
50,OrgGER17,German Taliban,JC,Only did org to org. Will go back and do org to plot,,,,
51,OrgGER18,Ibad al-Rahman Mosque Recruitment Cell,JC,,"""Recruiting for"" PlotGER45",,,
52,OrgGER19,Muhsinin Mosque Recruitment Cell,JC,,"""Financial/Logistical Supporter of"" PlotGER15",,,
53,OrgGER2,Al-Quds Mosque,JC,,,,,
54,OrgGER20,Brunswick Islam School Recruitment Cell,JC,,,,,
55,OrgGER21,Ansaar International,JC,Financial supporter of Hamas,,,,
318,OrgGER22,Abu Walaa Recruitment Ring,JC,JC,,,,
320,OrgGER23,Silent Transit Islamist Terror Cell,JC,Financial supporter of ISIS,,,,
321,OrgGER24,Fussilet 33 Mosque,JC,,,,,
340,OrgGER25,Almadinah Islamic Culture Organization,JC,No links,,,,
345,OrgGER26,Bilal Mosque,JC,,,,,
348,OrgGER27,Elif Medya,JC,,,,,
364,OrgGER28,Al Salam 313,,,,,,
288,OrgGER29,ShamToday,JC,,,,,
56,OrgGER3,Al-Taqwa Mosque Recruitment Cell,JC,,,,,
371,OrgGER30,Owais al-Qorani Brigade,JC,,,,,
24,OrgGER31,Milan Cell - Frankfurt/Meliani Cell,JC,,Director of PlotFR95 and PlotBEL34,,,
379,OrgGER32,Tauhid Berlin,JC,,,,,
57,OrgGER4,Die Wahre Religion,JC,,,,,
58,OrgGER5,Duisburg Mosque Recruitment Cell,JC,,,,,
59,OrgGER6,Einladung zum Paradies,JC,,,,,
60,OrgGER8,Greifswald mosque Recruitment Cell,JC,,,,,
61,OrgGER9,Islamiche Informationszentrum,JC,,,,,
62,OrgINT1,Afghan Taliban,JC,,,,,
63,OrgINT10,al-Gama'at al-Islamiyya,JC,,,,,
284,OrgINT100,Jaysh Muhammad in Bilad al-Sham,JC,,,,,
285,OrgINT101,Lohberger Brigade,JC,,,,,
276,OrgINT102,Al Qaeda in the Indian Subcontinent,JC,,,,,
275,OrgINT103,Supporters of Sharia,JC,,,,,
257,OrgINT104,Moro Islamic Liberation Front,JC,,,,,
290,OrgINT106,Suqour al-Sham,JC,Merged with orgINT75,,,,
298,OrgINT108,Junud al-Sham,JC,,,,,
291,OrgINT109,Al-Khanssaa Brigade,JC,,,,,
64,OrgINT11,Egyptian Islamic Jihad,JC,Merged with orgINT20,,,,
289,OrgINT110,Katibat Al-Aqsa,JC,,,,,
299,OrgINT111,Caucasus Emirate,JC,,,,,
300,OrgINT112,Jund al-Aqsa,JC,,,,,
302,OrgINT113,Moroccan Network,JC,,,,,
311,OrgINT114,Firqat al-Ghuraba,JC,,,,,
334,OrgINT116,Suleiman Brigade,JC,,,,,
319,OrgINT117,Didi Nwe Organisation,JC,,,,,
349,OrgINT118,Anwar al-Awlaki Brigade,,,,,,
357,OrgINT119,Electronic Horizons Foundation,,,,,,
65,OrgINT12,Muslim Brotherhood,JC,,,,,
358,OrgINT120,Amaq News Agency,,,,,,
366,OrgINT121,Katibat al-Muhajirin,,,,,,
367,OrgINT122,Mohammad Jamal Network,,,,,,
368,OrgINT123,Neo-Jama’atul Mujahideen Bangladesh,,,,,,
369,OrgINT124,Sheikh Omar Abdul Rahman Brigade,,,,,,
373,OrgINT125,Shariah4Bangladesh,,,,,,
337,OrgINT126,The Beatles Gang,,,,,,
376,OrgINT127,Hay’at Tahrir al-Sham,,,,,,
377,OrgINT128,Tariq ibn Ziyad Battalion (AQIM),,,,,,
378,OrgINT129,al-Furqan Squadron (AQIM),,,,,,
66,OrgINT13,Muslim Brotherhood Palestine Committee,JC,,,,,
67,OrgINT14,Takfir wal-Hijra,JC,,,,,
68,OrgINT15,Islamic Jihad Movement in Palestine ,JC,,,,,
69,OrgINT16,Pankisi Gorge Training Camp,JC,,,,,
70,OrgINT17,Jemaah Islamiya,JC,,"OrgINT17 ""Director of"" PlotINT4",,,
71,OrgINT18,Sunni Movement for Indonesian Society,JC,,,,,
73,OrgINT2,Derunta Training Camp,JC,,,,,
74,OrgINT20,Al-Qaeda,JC,,"OrgINT20 ""Director of"" PlotUS39",,,
75,OrgINT21,al-Qimmah Forum,JC,,,,,
76,OrgINT22,Ansar al-Sharia,JC,,"OrgINT22 ""Director of"" PlotINT14",,,
79,OrgINT25,Care International,JC,,"OrgINT25 ""Financial/Logisitical supporter of"" orgINT20",,,
80,OrgINT26,Fida Forum,JC,,,,,
81,OrgINT27,Global Islamic Media Front,JC,,,,,
82,OrgINT28,Hizb ut-Tahrir,JC,,,,,
84,OrgINT3,Mes Aynak Training Camp,JC,,,,,
85,OrgINT30,Inspire Media Productions,JC,,,,,
86,OrgINT31,Salafia Jihadia,JC,,,,,
87,OrgINT32,Shmukh Forum,JC,,,,,
88,OrgINT33,Signed in Blood Brigade,JC,,,,,
89,OrgINT34,Soldiers of Allah,JC,,,,,
90,OrgINT35,Tabligh Jamaat,JC,maybe remove?,,,,
91,OrgINT36,Quds Force,JC,removed,,,,
92,OrgINT37,Revolutionary Guard Training Camp,JC,maybe remove?,,,,
93,OrgINT38,Al-Qaeda in Iraq,JC,Merged with [orgINT20],,,,
94,OrgINT39,Ansar Al-Islam,JC,Merged with [orgINT41],,,,
95,OrgINT4,Tarnak Farms Training Camps,JC,,,,,
96,OrgINT40,Ansar al-Mahdi,JC,,,,,
97,OrgINT41,Islamic State of Iraq and the Levant,JC,,,,,
98,OrgINT42,Amal Militia,JC,,,,,
99,OrgINT43,Fatah al-Islam,JC,,,,,
100,OrgINT44,Hezbollah,JC,,,,,
101,OrgINT45,Hezbollah Training Camp,Jc,,,,,
102,OrgINT46,Libyan Islamic Fighting Group,JC,Merged with [orgINT20],,,,
103,OrgINT48,Groupe Islamique Combattant Marocain,JC,,,,,
104,OrgINT49,Boko Haram,JC,,,,,
105,OrgINT5,Al-Ansar Newsletter,JC,,,,,
106,OrgINT50,Al Farouq Training Camp,JC,,,,,
107,OrgINT51,Harakat ul-Jihad al-Islami,Jc,,,,,
108,OrgINT52,Harakat ul-Mujahidin Training Camp,JC,,,,,
109,OrgINT53,Harakat-ul-Mujahidin,JC,,,,,
110,OrgINT54,Hudaybiyah,JC,,,,,
111,OrgINT55,IJU Waziristan Training Camp,JC,,,,,
112,OrgINT56,Jaish-e-Mohammed,JC,,,,,
113,OrgINT57,Jaish-e-Mohammed Training Camp,JC,,,,,
114,OrgINT58,Lashkar e-Toyyaba,JC,,"OrgINT58 ""Director of"" PlotINT3",,,
115,OrgINT59,Malakand Training Camp,JC,,,,,
116,OrgINT6,Islamic Salvation Front,JC,,,,,
117,OrgINT60,Mir Ali Training Camp,JC,,,,,
118,OrgINT61,Pakistani Taliban,JC,,,,,
120,OrgINT63,Islamic Army of Palestine,JC,,,,,
122,OrgINT65,Abu Sayyaf,JC,,,,,
123,OrgINT66,Al-Baraka Investment and Development Corporation,JC,,"OrgINT66 ""Financial/Logistical supporter of"" PlotUS39",,,
124,OrgINT67,Al-Barakaat,JC,,,,,
125,OrgINT68,Al-Hikmah,JC,Financial supporter of [orgINT70],,,,
126,OrgINT69,al-Ittihad al-Islamiya,JC,,,,,
127,OrgINT7,Groupe Islamique Armé,JC,,,,,
128,OrgINT70,Al-Shabaab,JC,,,,,
129,OrgINT71,Hizbul Islam,JC,,,,,
130,OrgINT72,Islamic Courts Union,JC,,,,,
131,OrgINT73,Merca Safe House,JC,,,,,
132,OrgINT74,Islamic African Relief Agency,JC,,,,,
133,OrgINT75,Ahrar al Sham,JC,,,,,
134,OrgINT76,Jabhat al-Nusra,JC,,,,,
135,OrgINT77,Jund al-Sham,JC,Merged with orgINT76,,,,
136,OrgINT78,Mujaheeden Fi Ash Sham,JC,,,,,
137,OrgINT79,Ansar al-Sharia Tunisia,JC,,,,,
138,OrgINT8,Groupe Salafiste pour la Prédication et le Combat,JC,,,,,
139,OrgINT80,Tunisian Combatant Group,JC,,,,,
140,OrgINT81,Islamic Movement of Uzbekistan,JC,,,,,
141,OrgINT82,Al Iman University,JC,,,,,
142,OrgINT83,Al-Qaeda in the Arabian Peninsula,JC,,,,,
143,OrgINT84,Hamas,JC,,,,,
144,OrgINT85,Majlis Shura al-Mujahideen,JC,Merged with orgINT20,,,,
145,OrgINT86,Kandahar Training Camp,JC,,,,,
147,OrgINT88,Jaish al-Muhajireen wal-Ansar,JC,,,,,
148,OrgINT89,Islamic Jihad Union,JC,,,,,
149,OrgINT9,Jund Al-Khilafah,JC,,,,,
150,OrgINT90,Khalden Training Camp,JC,,,,,
151,OrgINT91,Katibat al-Bittar,JC,,,,,
152,OrgINT92,United Cyber Caliphate,JC,,,,,
277,OrgINT93,El-Hijra Construction and Development company,JC,,,,,
280,OrgINT94,Taba Investment Company,JC,Financial supporter of orgINT20,,,,
281,OrgINT95,Wadi al-Aqiq Import/Export company,JC,,,,,
279,OrgINT96,Ladin International Company,JC,,"OrgINT96 ""Financial supporter of"" PlotINT6",,,
278,OrgINT97,Themar al-Mukbaraka Company,JC,,,,,
283,OrgINT99,Jaish Muḥammad al-fātiḥ,JC,,,,,
154,OrgIT1,Al-Harmini Mosque Recruitment Cell,JC,,,,,
155,OrgIT10,Badia Mosque Recruitment Cell,JC,,,,,
156,OrgIT11,Assalam Ponte nelle Alpi Recruitment Cell,JC,,,,,
157,OrgIT12,2015 Brescia Network,JC,,,,,
158,OrgIT2,Baretti Mosque Recruitment Cell,JC,,,,,
159,OrgIT3,Cottolengo St. Mosque Recruitment Cell,JC,,,,,
160,OrgIT4,Cremona Mosque Recruitment Cell,JC,,,,,
161,OrgIT5,Faenza Mosque Recruitment Cell,JC,,,,,
162,OrgIT6,Jenner St. Mosque,JC,,,,,
163,OrgIT7,Massarenti St. Mosque Recruitment Cell,JC,,,,,
164,OrgIT8,Ponte Felcino Mosque Recruitment Cell,JC,,,,,
165,OrgIT9,Sharia4Italy,JC,,,,,
166,OrgLUX1,Association des Musulmans du Luxembourg,JC,,"OrgLUX1 ""Recruitment for"" PlotLux2",,,
167,OrgNL1,64a Vledstraat Flat,JC,,,,,
168,OrgNL10,Dar al-Hijrah  Recruitment Cell,JC,,,,,
169,OrgNL11,al-Fatih Mosque Recruitment Cell,JC,,,,,
341,OrgNL12,Omar Al Khattab Foundation,JC,,,,,
170,OrgNL2,Al Fourqaan Mosque Recruitment Cell,JC,,,,,
171,OrgNL3,al-Tawheed Mosque Recruitment Cell,JC,,"OrgNL3 ""Supporter of"" PlotSP12, PlotINT11",,,
172,OrgNL4,as-Soennah Mosque  Recruitment Cell,JC,,,,,
173,OrgNL5,De Ware Religie,JC,,,,,
174,OrgNL6,Hofstad Group,JC,,"OrgNL6 ""Director of"" PlotNL6, PlotNL5",,,
175,OrgNL7,MuwahideenTheTrueMuslims MSN Group,JC,,,,,
176,OrgNL8,Sharia4Holland,JC,,,,,
177,OrgNL9,Al-Qibla Recruitment Cell,JC,,,,,
178,OrgNOR1,Profetens Ummah,JC,,,,,
179,OrgSP1,Abu Bakr Mosque Recruitment Cell,JC,,,,,
365,OrgSP10,Kutayni Organization,,,,,,
372,OrgSP11,Spain Recruiting Cell,,,,,,
180,OrgSP2,Darkawia Mosque Recruitment Cell,JC,,,,,
181,OrgSP3,Martyrs For Morocco,JC,,,,,
182,OrgSP4,Masjid al-Furqan Recruitment Cell,JC,,,,,
183,OrgSP5,The Islamic Fraternity for the Preaching of Jihad,JC,,"OrgSP5 ""Director of"" PlotSP45",,,
323,OrgSP6,Shariah4Andalus,JC,,,,,
324,OrgSP7,Sharia4Spain,JC,,,,,
335,OrgSP8,Ripoll Barcelona Cell,JC,,,,,
314,OrgSP9,Al Andalus Brigade,JC,,,,,
184,OrgSWE1,Bellevue Mosque,CG,,,,,
185,OrgSWE2,Brandbergen Mosque,CG,,,,,
186,OrgSWE3,Sharia4Sweden,CG,,,,,
350,OrgSWE4,Mångkulturella Ungdoms Center,CG,,,,,
351,OrgSWE5,Troende Unga Framtida Förebilder,CG,,,,,
187,OrgSWI1,Ansar al-Mujahideen Forum,CG,,,,,
338,OrgSWI2,An’Nur Mosque,CG,,,,,
188,OrgUK1,Ahlus Sunnah wal Jamaah,CG,,,,,
189,OrgUK10,Brecon Beacons Training Camp,CG,,,,,
190,OrgUK11,Brixton Mosque Recruitment Cell,CG,mosque- no links,,,,
191,OrgUK12,Cranford West London Mosque Recruitment Cell,CG,mosque- no links,,,,
192,OrgUK13,Cumbria Training Camp,CG,,,,,
193,OrgUK14,Finchley Mosque Recruitment Cell,CG,mosque,"OrgUK14 ""Financial/Logistical Supporter of"" PlotUK28",,,
194,OrgUK15,Finsbury Park Mosque,CG,mosque- no links,,,,
195,OrgUK16,Human Aid UK,CG,financial supporter of orgINT41,,,,
196,OrgUK17,Iqra Islamic Bookshop,CG,,"OrgUK17 ""Financial/Logistical Supporter of"" PlotUK27",,,
197,OrgUK18,Islamic Book Centre,CG,no links,,,,
198,OrgUK19,Islamic Emergency Defence Group,CG,no links,,,,
199,OrgUK2,Al Ghurabaa,CG,,,,,
200,OrgUK20,Islamic Observation Center,CG,,,,,
201,OrgUK21,Jalalia Mosque Recruitment Cell,CG,mosque- no links,,,,
202,OrgUK22,Langley Green Muslim Centre and Mosque Recruitment Cell,CG,mosque- no links,,,,
203,OrgUK23,Luton Mosque Recruitment Cell,CG,mosque- no links,,,,
204,OrgUK24,Maktabah al-Ansar Bookshop,CG,no links,,,,
206,OrgUK26,Queen's Road Mosque Recruitment Cell,CG,members of mosque were involved in plot,"OrgUK26 ""Financial/Logistical Support of"" PlotUK31",,,
207,OrgUK27,Regent's Park Mosque Recruitment Cell,CG,,,,,
208,OrgUK28,Sakina Securities,CG,no links,,,,
209,OrgUK29,Stratford St. Mosque Recruitment Cell,CG,mosque- no links,,,,
211,OrgUK30,Rayat al-Tawheed,CG,,,,,
153,OrgUK31,Belfast Mosque Recruitment Cell,CG,mosque- a man from this mosque joined al Qaeda but is that enough for a link?,,,,
322,OrgUK33,Ummah Fitness Centre,CG,,"OrgUK33 ""Financial/Logistical Supporter of"" PlotUK123",,,
325,OrgUK34,Muslims Against Crusades,CG,,,,,
326,OrgUK35,Islam4UK,CG,,"OrgUK35 ""Financial/Logistical Supporter of"" PlotUK66",,,
328,OrgUK37,The Sharia Project,CG,no links,,,,
329,OrgUK38,Need4Khilafah,CG,,,,,
330,OrgUK39,The Islamic Dawah Association,CG,,,,,
212,OrgUK4,Al-Muhajiroun,CG,,"OrgUK4 ""Financial/Logistical Supporter of"" PlotUK56, PlotUK104",,,
331,OrgUK40,Women4Sharia,CG,,,,,
342,OrgUK42,Al Rahmah Welfare Organization,CG,,,,,
352,OrgUK43,Green Crescent Charity Fundraising,CG,financial support of links,,,,
213,OrgUK5,An-Noor Nasjid Recruitment Cell,CG,no links- mosque,,,,
214,OrgUK6,Ansar al-Sharia UK,CG,,,,,
215,OrgUK7,At-Tibyan Internet Forum,CG,,,,,
216,OrgUK8,Azzam Publications,CG,no specific links,,,,
217,OrgUK9,Baker Street Prayer Center Recruitment Cell,CG,no links,,,,
218,OrgUS1,Abubakar as-Saddique Recruitment Cell,CG,,,,,
219,OrgUS10,American Muslim Care Network,CG,no links,,,,
220,OrgUS11,Arab American Educational Foundation,CG,no links,,,,
221,OrgUS12,Benevolence International Foundation (US),CG,,,,,
222,OrgUS13,Brooklyn Islamic Center Recruitment Cell,CG,mosque,Financial/Logistical Supporter of a 9/11 anniversary plot (I belive it is PlotUS75 but I could be wrong),,,
223,OrgUS14,Calverton Shooting Range,CG,no links,,,,
224,OrgUS15,Cambridge Mosque Recruitment Cell,CG,mosque,"OrgUS15 ""Financial/Logistical Supporter of"" PlotUS130",,,
225,OrgUS16,Charity Without Borders,CG,financial supporter of OrgINT20 and other middle eastern groups,,,,
226,OrgUS17,Dallas Metro Restaurant ,CG,,"OrgUS17 ""Financial/Logistical Supporter of"" PlotUS28",,,
227,OrgUS18,Dar-us-Salaam Mosque Recruitment Cell,CG,mosque with few links,,,,
228,OrgUS19,Detroit Apartment,CG,no links,,,,
229,OrgUS2,Al Hijrah Recruitment Cell,CG,no links/mosque,,,,
230,OrgUS20,Falls Church Mosque Recruitment Cell,CG,,"OrgUS20 ""Financial/Logistical Supporter of"" PlotUS80, PlotUS39",,,
231,OrgUS21,Global Relief Foundation,CG,financial supporter of orgINT1 and orgINT20,,,,
232,OrgUS22,Guantanamo Bay,CG,no links,,,,
233,OrgUS23,Hamas (US organizations),CG,,,,,
235,OrgUS25,Holy Land Foundation,CG,financial supporter of orgINT84,,,,
236,OrgUS26,Infocom Corporation,CG,,,,,
238,OrgUS28,Islamic Association of Palestine,CG,financial supporter of orgINT84,,,,
239,OrgUS29,Islamic Center of San Diego Recruitment Cell,CG,,"OrgUS29 ""Financial/Logistical Supporter of"" PlotUS39",,,
240,OrgUS3,"Al-Aqsa Education Fund, Inc.",CG,,,,,
241,OrgUS30,Islamic Center of Tuscon Recruitment Cell,CG,no links,,,,
242,OrgUS31,Islamic Circle of North America,CG,no links,,,,
243,OrgUS32,Islamic Thinker's Society,CG,no links,,,,
244,OrgUS33,Jamaat Al-Fukra,CG,Financial/Logistical Supporter of 1983 Hotel Rajneesh Bombing (not in database),,,,
245,OrgUS34,Jamaat al-Muslimeen,CG,"no explicit links (says ""ties to terrorist groups in middle east"" but never specifies which)",,,,
246,OrgUS35,Jamaat Shariat,CG,,,,,
247,OrgUS36,Jam'iyyat Ul-Islam Is-Saheeh,CG,no links,,,,
248,OrgUS37,Kindhearts,CG,,,,,
249,OrgUS38,Liberty City Seven,CG,,,,,
250,OrgUS39,Masjed as-Saber Recruitment Cell,CG,no links,,,,
251,OrgUS4,Al-Farooq Mosque Recruitment Cell,CG,no links,,,,
252,OrgUS40,Masjid al-Fatima Recruitment Cell,CG,,"OrgUS40 ""Financial/Logistical Supporter of"" PlotUS75",,,
253,OrgUS41,Masjid Al-Ihsaan Mosque Recruitment Cell,CG,no links,,,,
255,OrgUS43,Masjid At-Tawfeeq Recruitment Cell,CG,"says that members of this org were involved with ""Toledo plot,"" but it's unclear exactly which plot it is referring to","OrgUS43 ""Financial/Logistical Supporter of"" PlotUS57, PlotUS86",,,
256,OrgUS44,Moorish Science Temple Recruitment Cell,CG,no links,,,,
258,OrgUS46,Muslim Arab Youth Organization,CG,,,,,
261,OrgUS49,New Bloomfield Shooting Range,CG,no links,,,,
262,OrgUS5,Al-Kifah (NYC Branch),CG,no info written/no links,,,,
263,OrgUS50,Newburgh Mosque Recruitment Cell,CG,no links,,,,
264,OrgUS51,Airman Flight School,CG,,,,,
265,OrgUS52,Palestine Committee,CG,,,,,
266,OrgUS53,Poconos Training Camp,CG,no links,,,,
267,OrgUS54,Revolution Muslim,CG,no links,,,,
269,OrgUS56,United Association for Studies and Research,CG,,,,,
270,OrgUS57,World and Islam Studies Enterprise,CG,,,,,
310,OrgUS58,Twin Cities- Somalia Recruitment Ring,CG,,,,,
